,TCP UL/DL (Bytes),Avg RTT UL/DL (ms),Avg Bearer UL/DL (kbps),clusters
620,838128.6648110661,39.0,4024.0,0
621,21569572.935152996,38.0,166.0,0
622,21569572.935152996,40.0,102.0,0
623,21569572.935152996,35.0,106.0,0
624,12932.0,248.0,1529.0,0
625,22600190.935152996,76.32576582180064,68267.0,0
626,20812016.27034193,46.0,1808.0,0
627,21569572.935152996,22.0,105.0,0
628,762306.6648110661,48.0,17334.0,0
629,43139145.87030599,79.0,153.0,0
630,21569572.935152996,54.0,73.0,0
631,21646639.935152996,123.0,58403.0,0
632,21569572.935152996,34.0,29258.0,0
633,43995437.53511706,670.6515316436013,4192.0,0
634,29501359.935152996,298.0,62840.0,0
635,22343861.59996406,62.0,1057.0,0
636,22975887.935152996,106.0,159869.0,0
637,241523632.935153,65.0,11747.0,0
638,21569572.935152996,16.0,105.0,0
639,21569572.935152996,17.0,121.0,0
640,24450720.935152996,108.0,26637.0,0
641,22335541.59996406,144.0,8983.0,0
642,43139145.87030599,110.0,1332.0,0
643,21569572.935152996,35.32576582180065,15.0,0
644,43139145.87030599,81.0,4884.0,0
645,21569572.935152996,35.32576582180065,98.0,0
646,21569572.935152996,35.32576582180065,125.0,0
647,31836021.935152996,976.3257658218006,10417.0,0
648,23940.0,595.0,1156.0,0
649,4272786.0,168.0,20874.0,0
650,21569572.935152996,35.32576582180065,15.0,0
651,760638.6648110661,31.0,24692.0,0
652,22049682.935152996,165.32576582180064,37581.0,0
653,14393886.0,187.0,67479.0,0
654,21993051.935152996,73.0,89473.0,0
